step,mean
532,64.1
533,64.1
534,63.4
535,63.7
536,64.8
537,64.8
538,41.6
539,20.2
540,21.1
541,28.2
542,52.4
543,66.7
544,65.8
545,63.1
546,57.0
547,44.6
548,52.0
549,65.0
550,64.5
551,39.8
552,15.1
553,14.7
554,14.8
555,14.0
556,13.1
557,13.1
558,12.8
559,13.2
560,12.8
561,13.0
562,13.0
563,30.8
564,58.1
565,64.6
566,64.7
567,65.0
568,66.3
569,65.2
570,65.3
571,66.3
572,66.3
573,66.2
574,65.4
575,64.5
576,64.5
577,62.1
578,37.8
579,15.4
580,15.6
581,15.8
582,28.4
583,54.3
584,66.0
585,66.0
586,65.5
587,64.2
588,65.5
589,62.5
590,39.1
591,18.2
592,16.1
593,15.7
594,16.0
595,40.0
596,64.6
597,64.5
598,62.9
599,45.5
600,23.2
601,20.2
602,25.6
603,48.0
604,63.7
605,63.0
606,63.1
607,63.1
608,41.2
609,17.9
610,41.8
611,65.5
612,65.1
613,40.8
614,16.7
615,16.7
616,16.6
617,40.2
618,64.8
619,64.8
620,64.3
621,63.9
622,64.1
623,65.1
624,65.1
625,44.8
626,45.4
627,65.9
628,65.7
629,65.9
630,65.7
631,64.1
632,63.7
633,63.8
634,64.0
635,41.1
636,16.6
637,15.8
638,17.4
639,37.0
640,64.8
641,65.5
642,65.5
643,65.3
644,65.2
645,64.7
646,63.1
647,61.7
648,62.9
649,48.1
650,22.8
651,13.9
652,14.2
653,13.9
654,16.1
655,17.9
656,41.8
657,65.7
658,65.8
659,65.8
660,43.6
661,40.8
662,62.5
663,40.0
664,15.2
665,15.7
666,15.6
667,15.7
668,41.2
669,66.7
670,66.7
671,65.4
672,65.7
673,65.2
674,65.2
675,65.1
676,65.1
677,62.7
678,59.4
679,41.9
680,18.2
681,17.9
682,41.4
683,46.2
684,63.7
685,63.7
686,37.7
687,27.1
688,13.1
689,13.1
690,13.4
691,14.7
692,16.0
693,17.1
694,17.9
695,20.2
696,44.3
697,50.6
698,64.5
699,64.3
700,64.5
701,42.6
702,43.0
703,65.0
704,64.8
705,42.5
706,22.2
