step,mean
532,7.1
533,8.4
534,11.5
535,34.6
536,35.6
537,34.1
538,38.2
539,26.1
540,34.1
541,36.1
542,35.2
543,36.6
544,34.6
545,35.0
546,34.0
547,22.4
548,33.4
549,37.1
550,36.0
551,35.2
552,37.0
553,39.2
554,39.4
555,37.1
556,28.6
557,16.4
558,16.0
559,16.2
560,16.3
561,34.8
562,35.3
563,34.8
564,31.1
565,9.2
566,8.9
567,9.6
568,32.6
569,30.6
570,26.8
571,28.4
572,30.6
573,32.5
574,32.2
575,13.9
576,27.0
577,32.1
578,28.8
579,28.6
580,28.4
581,28.7
582,28.9
583,34.2
584,49.5
585,35.7
586,64.1
587,55.4
588,16.0
589,8.8
590,9.4
591,8.1
592,15.3
593,15.4
594,15.2
595,17.6
596,30.4
597,30.1
598,29.4
599,33.5
600,33.8
601,32.9
602,26.2
603,28.6
604,28.4
605,28.3
606,28.9
607,32.8
608,35.8
609,38.4
610,23.8
611,21.6
612,38.2
613,35.1
614,27.5
615,35.5
616,17.6
617,38.4
618,36.6
619,16.1
620,16.2
621,27.7
622,18.7
623,14.5
624,15.0
625,14.6
626,41.6
627,32.3
628,29.4
629,30.9
630,30.9
631,30.1
632,31.4
633,35.2
634,24.8
635,6.5
636,6.3
637,6.3
638,6.5
639,28.5
640,27.5
641,27.5
642,34.1
643,33.7
644,32.9
645,32.6
646,30.9
647,29.9
648,29.5
649,29.9
650,27.9
651,31.2
652,16.2
653,8.3
654,6.6
655,7.7
656,7.4
657,7.0
658,18.4
659,31.4
660,17.8
661,27.7
662,18.9
663,6.2
664,6.2
665,6.0
666,6.2
667,7.5
668,7.6
669,7.2
670,12.6
671,18.4
672,32.6
673,33.7
674,31.7
675,26.7
676,29.3
677,30.9
678,31.9
679,31.4
680,11.9
681,11.8
682,14.1
683,26.4
684,29.5
685,27.5
686,28.6
687,33.9
688,26.1
689,25.7
690,30.2
691,29.3
692,26.6
693,32.5
694,17.1
695,17.3
696,17.4
697,52.2
698,33.3
699,29.4
700,29.9
701,31.4
702,32.9
703,18.6
704,28.1
705,30.3
706,31.9
707,31.9
708,33.0
709,9.7
710,10.7
711,17.5
712,8.8
713,34.3
714,27.8
715,23.7
716,10.0
717,10.0
718,22.2
719,49.8
720,35.5
721,34.7
722,59.9
723,60.3
724,17.2
725,17.5
726,17.6
727,35.1
728,32.9
729,31.2
730,32.1
731,31.6
732,30.9
733,32.4
734,33.9
735,34.0
736,34.2
737,33.4
738,23.4
739,34.0
740,31.9
741,33.1
742,30.3
743,30.2
744,31.1
745,29.9
746,28.9
747,29.7
748,36.5
749,33.1
750,33.7
751,19.8
752,14.9
753,14.8
754,15.1
755,26.2
756,44.3
757,22.4
758,18.6
759,11.1
760,13.6
761,26.6
762,19.6
763,28.8
764,32.6
765,31.1
766,34.0
767,33.2
768,33.6
769,33.7
770,33.9
771,33.2
772,33.2
773,18.4
774,27.5
775,33.8
776,31.8
777,39.0
778,39.0
779,54.5
780,29.2
781,15.1
782,15.0
783,13.9
784,16.0
785,16.2
786,17.8
787,31.5
788,31.5
789,31.1
790,31.1
791,31.1
792,33.1
793,22.7
794,31.2
795,31.2
796,31.7
797,30.6
798,31.4
799,32.2
800,32.9
801,31.2
802,31.6
803,30.8
804,31.6
805,32.5
806,40.3
807,33.7
808,34.5
809,32.5
810,18.5
811,18.1
812,18.4
813,30.3
814,30.1
815,27.7
816,27.6
817,13.5
818,23.1
819,29.8
820,28.7
821,26.9
822,25.6
823,23.9
824,27.6
825,26.7
826,31.8
827,19.2
828,19.8
829,25.2
830,25.1
831,21.7
832,23.9
833,23.9
834,22.4
835,28.0
836,29.9
837,29.6
838,30.9
839,36.4
840,36.2
841,37.1
842,14.1
843,17.2
844,17.2
845,20.8
846,30.1
847,31.3
848,29.8
849,31.3
850,29.9
851,30.1
852,31.3
853,22.7
854,16.9
855,30.8
856,31.8
857,19.2
858,19.1
859,18.9
860,29.8
861,30.0
862,31.2
863,29.8
864,29.8
865,29.7
866,30.3
867,30.3
868,31.2
869,31.0
870,33.8
871,33.0
872,33.6
873,20.8
874,17.7
875,17.5
876,24.7
877,31.6
878,31.8
879,30.2
880,29.8
881,32.1
882,30.4
883,30.0
884,29.5
885,29.5
886,32.1
887,31.0
888,25.4
889,8.5
890,10.1
891,10.0
892,7.9
893,8.4
894,10.8
895,13.9
896,26.1
897,29.5
898,26.5
899,24.9
900,25.6
901,19.1
902,25.9
903,31.1
904,31.1
905,31.9
906,31.9
907,31.9
908,32.4
909,20.9
910,8.8
911,8.2
912,8.9
913,9.0
914,22.8
915,26.3
916,26.0
917,30.7
918,30.7
919,30.0
920,30.8
921,31.0
922,20.9
923,19.1
924,30.1
925,19.4
926,20.4
927,27.5
928,27.3
929,28.2
930,28.8
931,28.7
932,28.3
933,29.0
934,31.6
935,31.2
936,30.6
937,30.9
938,24.0
939,28.3
940,36.9
941,37.6
942,16.2
943,16.0
944,15.8
945,19.1
946,21.4
947,27.1
948,27.6
949,27.0
950,28.9
951,28.5
952,27.6
953,27.6
954,28.4
955,28.4
956,28.4
957,28.5
958,28.5
959,20.4
960,24.2
961,29.2
962,29.4
963,28.7
964,28.7
965,28.7
966,28.6
967,21.7
968,27.5
969,27.8
970,30.7
971,33.6
972,32.9
973,19.7
974,13.4
975,13.2
976,13.2
977,11.2
978,11.8
979,11.8
980,11.7
981,12.2
982,11.0
983,12.2
984,29.9
985,28.1
986,28.4
987,30.0
988,19.4
989,25.1
990,24.9
991,22.7
992,21.6
993,23.8
994,25.1
995,28.4
996,28.8
997,30.0
998,29.4
999,28.0
1000,28.1
1001,30.0
1002,30.4
1003,29.5
1004,30.1
1005,21.8
1006,25.7
1007,28.3
1008,28.5
1009,32.4
1010,37.2
1011,37.5
1012,38.0
1013,15.8
1014,15.8
1015,16.4
1016,16.6
1017,27.1
1018,19.1
1019,24.6
1020,28.5
1021,29.9
1022,30.0
1023,27.9
1024,27.5
1025,28.3
1026,14.5
1027,14.5
1028,14.4
1029,16.9
1030,28.1
1031,28.4
1032,29.2
1033,29.2
1034,28.6
1035,28.6
1036,28.6
1037,28.7
1038,28.3
1039,20.9
1040,19.2
1041,19.4
1042,26.6
1043,26.8
1044,26.5
1045,26.9
1046,31.7
1047,32.2
1048,31.1
1049,32.9
1050,9.6
1051,8.7
1052,8.7
1053,8.4
1054,9.8
1055,8.8
1056,23.2
1057,24.2
1058,24.4
1059,16.1
1060,12.2
1061,15.0
1062,23.5
1063,22.9
1064,25.2
1065,26.5
1066,26.6
1067,21.4
1068,22.9
1069,20.2
1070,26.6
1071,21.8
1072,10.4
1073,10.8
1074,20.9
1075,25.0
1076,29.0
1077,28.9
1078,27.5
1079,27.7
1080,12.0
1081,12.9
1082,12.7
1083,12.7
1084,12.9
1085,13.0
1086,12.9
1087,13.1
1088,12.8
1089,12.7
1090,12.7
1091,21.6
1092,27.0
1093,29.4
1094,28.2
1095,22.1
1096,17.3
1097,17.4
1098,23.6
1099,15.8
1100,15.6
1101,15.7
1102,26.1
1103,29.4
1104,28.5
1105,22.1
1106,18.9
1107,19.0
1108,18.5
1109,21.3
1110,26.8
1111,26.9
1112,26.8
1113,27.1
1114,27.0
1115,27.4
1116,27.2
1117,27.1
1118,23.0
1119,23.6
1120,22.8
1121,22.8
1122,23.3
1123,23.4
1124,23.9
1125,22.9
1126,23.8
1127,24.8
1128,25.9
1129,27.2
1130,28.2
1131,25.3
1132,29.3
1133,27.1
1134,14.8
1135,11.8
1136,8.3
1137,10.5
1138,18.2
1139,18.2
1140,24.6
1141,26.5
1142,27.6
1143,27.0
1144,27.0
1145,26.5
1146,26.7
1147,27.3
1148,27.2
1149,26.5
1150,26.8
1151,26.8
1152,27.5
1153,27.4
1154,28.1
1155,28.8
1156,28.0
1157,27.9
1158,25.9
1159,20.5
1160,19.8
1161,22.6
1162,27.8
1163,27.9
1164,27.1
1165,26.4
1166,26.8
1167,27.7
1168,29.8
1169,31.4
1170,30.6
1171,25.4
1172,17.3
1173,9.0
1174,11.1
1175,8.7
1176,12.6
1177,23.9
1178,23.3
1179,23.8
1180,23.6
1181,23.0
1182,23.8
1183,23.6
1184,23.6
1185,26.2
1186,27.4
1187,24.2
1188,21.3
1189,21.1
1190,16.1
1191,12.2
1192,15.8
1193,24.0
1194,27.4
1195,27.8
1196,27.7
1197,27.6
1198,26.9
1199,23.2
1200,23.4
1201,23.2
1202,22.6
1203,10.8
1204,10.4
1205,10.5
1206,10.8
1207,17.3
1208,23.6
1209,24.0
1210,26.8
1211,30.8
1212,32.8
1213,32.1
1214,14.8
1215,7.6
1216,8.0
1217,8.3
1218,8.2
1219,8.4
1220,9.8
1221,9.8
1222,10.1
1223,18.1
1224,27.8
1225,27.8
1226,27.2
1227,27.4
1228,27.2
1229,26.9
1230,27.1
1231,27.4
1232,27.2
1233,27.4
1234,27.6
1235,28.2
1236,27.4
1237,27.2
1238,26.5
1239,21.0
1240,24.5
1241,27.3
1242,27.4
1243,26.7
1244,19.4
1245,23.2
1246,27.1
1247,27.4
1248,20.2
1249,24.5
1250,29.0
1251,30.2
1252,31.4
1253,28.9
1254,17.4
1255,18.0
1256,17.9
1257,22.9
1258,27.2
1259,27.7
1260,27.3
1261,27.5
1262,26.8
1263,26.9
1264,26.7
1265,22.6
1266,15.1
1267,14.9
1268,15.2
1269,15.0
1270,24.9
1271,20.6
1272,22.6
1273,25.9
1274,25.9
1275,25.9
1276,25.9
1277,25.9
1278,26.6
1279,23.6
1280,25.1
1281,18.1
1282,12.9
1283,19.6
1284,23.1
1285,22.5
1286,22.1
1287,22.0
1288,23.1
1289,22.6
1290,24.7
1291,28.5
1292,30.0
1293,27.8
1294,25.2
1295,11.5
1296,6.6
1297,6.3
1298,5.5
1299,6.2
1300,6.3
1301,7.5
1302,16.3
1303,18.4
1304,24.8
1305,28.3
1306,27.0
1307,26.6
1308,26.7
1309,27.2
1310,27.4
1311,27.7
1312,21.0
1313,25.2
1314,27.0
1315,27.5
1316,27.5
1317,26.1
1318,27.6
1319,27.5
1320,27.4
1321,19.9
1322,14.5
1323,14.4
1324,14.2
1325,13.9
1326,19.2
1327,17.5
1328,18.6
1329,18.6
1330,28.3
1331,28.3
1332,28.5
1333,27.9
1334,26.9
1335,27.0
1336,29.6
1337,31.1
1338,29.7
1339,24.1
1340,17.8
1341,12.1
1342,11.8
1343,10.9
1344,10.8
1345,16.1
1346,23.3
1347,23.7
1348,23.8
1349,24.4
1350,23.8
1351,26.2
1352,28.0
1353,22.5
1354,22.7
1355,22.8
1356,22.1
1357,20.5
1358,19.4
1359,19.9
1360,27.4
1361,26.5
1362,26.2
1363,26.0
1364,25.7
1365,25.4
1366,25.4
1367,25.4
1368,19.9
1369,19.4
1370,26.6
1371,26.2
1372,23.0
1373,21.0
1374,27.1
1375,27.5
1376,32.5
1377,32.6
1378,33.1
1379,30.3
1380,10.6
1381,8.8
1382,10.8
1383,8.2
1384,9.3
1385,9.8
1386,13.8
1387,11.1
1388,17.8
1389,18.1
1390,13.7
1391,20.2
1392,23.0
1393,25.7
1394,25.4
1395,24.6
1396,20.5
1397,20.8
1398,21.1
1399,20.4
1400,21.2
1401,24.6
1402,26.8
1403,17.6
1404,17.5
1405,17.1
1406,19.1
1407,25.2
1408,26.8
1409,19.5
1410,20.8
1411,25.1
1412,25.4
1413,25.4
1414,25.4
1415,25.9
1416,26.0
1417,26.2
1418,26.3
1419,21.6
1420,27.2
1421,31.1
1422,30.8
1423,20.4
1424,17.5
1425,17.7
1426,17.8
1427,26.3
1428,27.2
1429,26.9
1430,27.1
1431,26.9
1432,25.7
1433,27.2
1434,27.2
1435,25.9
1436,19.6
1437,27.1
1438,26.8
1439,26.9
1440,25.5
1441,20.5
1442,26.8
1443,21.0
1444,16.7
1445,25.6
1446,24.1
1447,23.3
1448,23.1
1449,23.7
1450,23.2
1451,24.0
1452,23.3
1453,22.9
1454,22.3
1455,24.2
1456,26.2
1457,20.6
1458,24.6
1459,27.1
1460,24.6
1461,24.7
1462,22.4
1463,12.8
1464,13.0
1465,13.1
1466,12.8
1467,11.4
1468,10.7
1469,10.9
1470,10.5
1471,11.9
1472,23.3
1473,23.6
1474,21.6
1475,21.1
1476,21.2
1477,21.9
1478,21.6
1479,22.1
1480,20.2
1481,22.7
1482,12.0
1483,11.8
1484,18.8
1485,20.6
1486,20.8
1487,24.1
1488,25.5
1489,25.1
1490,24.7
1491,25.1
1492,24.8
1493,24.9
1494,25.0
1495,24.5
1496,24.6
1497,24.6
1498,25.4
1499,24.8
1500,25.6
1501,25.6
1502,26.6
1503,31.9
1504,30.6
1505,28.4
1506,15.6
1507,14.2
1508,16.6
1509,16.8
1510,16.6
1511,20.6
1512,21.3
1513,26.4
1514,26.2
1515,26.3
1516,26.1
1517,25.9
1518,16.9
1519,16.6
1520,16.5
1521,16.1
1522,16.3
1523,26.7
1524,27.1
1525,23.7
1526,22.3
1527,21.4
1528,22.4
1529,8.9
1530,9.7
1531,9.2
1532,10.1
1533,11.5
1534,11.8
1535,20.5
1536,22.7
1537,23.2
1538,26.6
1539,26.8
1540,21.2
1541,21.1
1542,19.5
1543,20.7
1544,22.0
1545,26.9
1546,26.8
1547,23.5
1548,15.8
1549,9.1
1550,10.6
1551,10.8
1552,10.0
1553,19.5
1554,24.3
1555,16.3
1556,14.8
1557,27.5
1558,25.5
1559,25.4
1560,12.0
1561,10.6
1562,10.2
1563,17.2
1564,17.4
1565,24.2
1566,22.4
1567,22.2
1568,19.8
1569,19.7
1570,20.2
1571,25.7
1572,25.0
1573,24.9
1574,25.3
1575,25.4
1576,25.2
1577,25.1
1578,25.4
1579,25.2
1580,20.8
1581,20.4
1582,24.9
1583,25.0
1584,25.4
1585,24.6
1586,24.3
1587,25.1
1588,25.4
1589,25.6
1590,18.9
1591,18.9
1592,25.6
1593,25.8
1594,25.8
1595,22.1
1596,18.6
1597,20.8
1598,29.7
1599,29.6
1600,29.9
1601,17.8
1602,17.6
1603,17.5
1604,17.8
1605,24.7
1606,24.7
1607,24.3
1608,24.3
1609,24.3
1610,23.8
1611,13.2
1612,13.3
1613,22.9
1614,10.6
1615,10.8
1616,10.1
1617,24.0
1618,22.4
1619,13.7
1620,14.2
1621,21.9
1622,8.5
1623,15.6
1624,15.1
1625,24.8
1626,22.1
1627,21.3
1628,13.7
1629,8.5
1630,8.1
1631,8.3
1632,18.0
1633,20.2
1634,24.3
1635,24.3
1636,24.4
1637,24.3
1638,24.8
1639,24.2
1640,25.7
1641,25.5
1642,25.3
1643,16.6
1644,23.5
1645,34.8
1646,32.6
1647,12.8
1648,13.9
1649,13.7
1650,13.8
1651,25.1
1652,25.5
1653,27.6
1654,16.3
1655,16.4
1656,25.8
1657,19.4
1658,25.5
1659,16.6
1660,16.2
1661,16.4
1662,16.4
1663,16.9
1664,20.2
1665,20.1
1666,26.6
1667,26.2
1668,26.5
1669,26.6
1670,26.5
1671,26.8
1672,26.4
1673,25.9
1674,22.6
1675,22.6
1676,22.6
1677,20.5
1678,20.6
1679,27.6
1680,27.8
1681,23.9
1682,23.7
1683,24.2
1684,24.2
1685,15.4
1686,15.2
1687,7.1
1688,9.0
1689,29.8
1690,28.1
1691,24.7
1692,26.2
1693,22.2
1694,14.9
1695,14.4
1696,14.6
1697,14.7
1698,14.9
1699,17.4
1700,18.1
1701,20.8
1702,20.7
1703,21.2
1704,19.8
1705,19.6
1706,18.2
1707,18.7
1708,20.5
1709,26.9
1710,27.0
1711,26.9
1712,26.7
1713,26.2
1714,26.7
1715,26.8
1716,26.8
1717,26.6
1718,26.8
1719,26.4
1720,26.6
1721,26.4
1722,26.7
1723,27.1
1724,26.6
1725,26.6
1726,26.5
1727,26.2
1728,22.6
1729,22.8
1730,23.3
1731,35.3
1732,23.7
1733,23.9
1734,29.9
1735,12.0
1736,11.2
1737,12.6
1738,13.0
1739,11.4
1740,11.7
1741,21.9
1742,21.7
1743,23.3
1744,21.4
1745,20.9
1746,23.0
1747,20.9
1748,21.8
1749,9.3
1750,9.2
1751,9.6
1752,20.5
1753,24.8
1754,24.8
1755,24.8
1756,22.0
1757,21.0
1758,21.0
1759,20.4
1760,21.6
1761,19.6
1762,21.3
1763,22.1
1764,23.0
1765,23.9
1766,26.2
1767,10.4
1768,14.5
1769,15.9
1770,15.3
1771,15.8
1772,15.4
1773,21.6
1774,25.1
1775,25.1
1776,24.9
1777,24.8
1778,34.0
1779,32.1
1780,32.9
1781,34.1
1782,22.6
1783,16.4
1784,16.2
1785,16.2
1786,19.2
1787,23.8
1788,23.6
1789,23.8
1790,23.9
1791,22.1
1792,20.1
1793,21.4
1794,20.7
1795,22.4
1796,20.6
1797,19.8
1798,20.2
1799,19.8
1800,20.5
1801,13.8
1802,19.2
1803,20.8
1804,16.7
1805,19.1
1806,20.8
1807,9.6
1808,9.6
1809,9.3
1810,21.7
1811,22.1
1812,27.9
1813,27.4
1814,19.1
1815,23.9
1816,24.2
1817,18.6
1818,18.9
1819,24.6
1820,24.6
1821,24.5
1822,36.0
1823,34.2
1824,34.2
1825,35.1
1826,21.9
1827,13.8
1828,13.7
1829,13.6
1830,14.0
1831,16.0
1832,16.4
1833,20.5
1834,22.0
1835,21.5
1836,22.1
1837,21.6
1838,21.6
1839,19.8
1840,19.2
1841,18.8
1842,20.0
1843,21.9
1844,22.3
1845,20.5
1846,20.4
1847,20.0
1848,20.6
1849,12.7
1850,11.8
1851,11.8
1852,19.9
1853,21.3
1854,21.4
1855,22.9
1856,21.1
1857,22.9
1858,24.1
1859,19.4
1860,20.4
1861,19.2
1862,20.4
1863,18.9
1864,22.5
1865,22.6
1866,22.4
1867,20.8
1868,21.1
1869,24.5
1870,26.4
1871,27.1
1872,28.4
1873,26.2
1874,19.7
1875,15.2
1876,27.8
1877,25.8
1878,18.8
1879,14.3
1880,24.4
1881,27.2
1882,31.4
1883,19.3
1884,10.7
1885,10.7
1886,11.6
1887,11.8
1888,11.8
1889,12.5
1890,13.5
1891,13.7
1892,13.5
1893,13.5
1894,19.7
1895,31.1
1896,31.7
1897,23.9
1898,25.6
1899,25.8
1900,26.0
1901,15.6
1902,18.8
1903,25.7
1904,26.1
1905,26.1
1906,28.1
1907,27.6
1908,16.4
1909,12.8
1910,13.2
1911,12.0
1912,12.0
1913,7.2
1914,8.1
1915,7.2
1916,7.4
1917,7.2
1918,8.0
1919,7.8
1920,18.4
1921,17.6
1922,28.9
1923,32.1
1924,32.0
1925,29.8
1926,28.9
1927,30.3
1928,29.9
1929,27.9
1930,25.2
1931,30.1
1932,30.6
1933,23.9
1934,19.9
1935,20.1
1936,26.6
1937,30.0
1938,17.3
1939,17.3
1940,17.3
1941,20.0
1942,30.0
1943,31.4
1944,29.7
1945,29.6
1946,32.6
1947,32.3
1948,24.3
1949,32.9
1950,21.5
1951,28.8
1952,28.1
1953,20.2
1954,28.0
1955,32.0
1956,32.5
1957,31.4
1958,32.4
1959,32.4
1960,32.6
1961,32.6
1962,32.6
1963,31.1
1964,21.2
1965,14.8
1966,25.9
1967,25.6
1968,25.9
1969,26.7
1970,26.6
1971,8.2
1972,8.1
1973,7.9
1974,8.6
1975,26.8
1976,9.6
1977,10.6
1978,15.7
1979,9.8
1980,12.6
1981,12.2
1982,26.5
1983,26.7
1984,26.2
1985,27.7
1986,28.9
1987,29.8
1988,29.2
1989,29.3
1990,29.2
1991,24.6
1992,24.9
1993,11.0
1994,12.6
1995,18.1
1996,26.5
1997,27.2
1998,25.1
1999,20.8
2000,11.0
2001,9.6
2002,9.8
2003,11.8
2004,14.1
2005,30.4
2006,27.1
2007,13.8
2008,21.0
2009,23.3
2010,23.9
2011,24.8
2012,11.1
2013,12.1
2014,29.3
2015,26.1
2016,30.8
2017,30.8
2018,30.0
2019,30.4
2020,30.6
2021,30.7
2022,30.1
2023,28.9
2024,29.4
2025,29.3
2026,31.2
2027,30.6
2028,30.9
2029,29.6
2030,26.5
2031,17.9
2032,30.4
2033,21.1
2034,29.8
2035,29.8
2036,28.9
2037,31.4
2038,17.4
2039,17.1
2040,20.9
2041,23.2
2042,23.1
2043,29.6
2044,29.5
2045,30.6
2046,29.2
2047,28.7
2048,29.0
2049,30.0
2050,29.8
2051,28.1
2052,24.7
2053,25.6
2054,10.4
2055,11.9
2056,11.8
2057,11.9
2058,13.2
2059,26.1
2060,27.7
2061,25.2
2062,22.9
2063,16.2
2064,17.4
2065,30.9
2066,30.6
2067,28.8
2068,23.4
2069,21.9
2070,21.9
2071,12.8
2072,12.9
2073,24.6
2074,26.3
2075,31.9
2076,30.9
2077,31.6
2078,32.0
2079,31.7
2080,28.8
2081,29.8
2082,29.8
2083,28.2
2084,23.6
2085,27.5
2086,30.1
2087,30.8
2088,29.2
2089,29.5
2090,18.5
2091,28.7
2092,31.1
2093,29.8
2094,31.1
2095,25.2
2096,25.9
2097,19.1
2098,16.9
2099,18.1
2100,28.5
2101,28.9
2102,28.0
2103,29.2
2104,29.1
2105,19.4
2106,17.1
2107,17.6
2108,17.4
2109,17.5
2110,28.0
2111,26.5
2112,22.3
2113,30.4
2114,31.6
2115,30.8
2116,28.9
2117,29.0
2118,30.6
2119,26.2
2120,22.4
2121,27.0
2122,23.1
2123,28.7
2124,29.9
2125,30.0
2126,29.1
2127,29.3
2128,28.6
2129,29.5
2130,24.2
